session_id,window_start,avg_power,std_power,interval_count,interval_ratio,IF,TSS,interval_intensity
activities/2786247269.fit.gz,2019-08-17 11:50:40,332.60738255033556,33.48790544763531,1,0.15666666666666668,0.9147524308981101,6.9731000819500135,1.0126760271062767
activities/2786247269.fit.gz,2019-08-17 11:53:10,345.3590604026846,16.0138971250155,2,0.22333333333333333,0.9498226936927148,7.518026245447372,1.0059746474139724
activities/2786247269.fit.gz,2019-08-17 11:55:40,340.75333333333333,13.700090835059775,2,0.17,0.9371558069855181,7.31884172138898,0.9820538576587096
activities/2786247269.fit.gz,2019-08-17 11:58:10,340.01666666666665,12.499188862571131,2,0.22333333333333333,0.9351297917511961,7.287231061838629,0.9838495266339448
activities/2786247269.fit.gz,2019-08-17 12:00:40,340.5,13.624854739286825,3,0.29,0.9364590777646654,7.30796336939873,0.9837980981016474
activities/2786247269.fit.gz,2019-08-17 12:03:10,337.54,18.36396108323764,2,0.21666666666666667,0.9283183468683852,7.181457942770429,0.9765492156244653
activities/2786247269.fit.gz,2019-08-17 12:05:40,330.8433333333333,16.28492520366271,2,0.22,0.909900859964526,6.899329791368198,0.9728790143092442
activities/2786247269.fit.gz,2019-08-17 12:08:10,336.95,25.870333717729014,1,0.13333333333333333,0.926695701182978,7.156374354925092,1.0809157974697727
activities/2786247269.fit.gz,2019-08-17 12:10:40,338.99333333333334,26.30462485740652,1,0.13,0.9323153723985408,7.243432946755248,1.083949883980622
activities/2786247269.fit.gz,2019-08-17 12:13:10,326.6066666666667,18.69238585330639,2,0.23333333333333334,0.8982489804947377,6.723760257998629,0.9656509844052841
activities/2786247269.fit.gz,2019-08-17 12:15:40,335.11333333333334,30.63158210445915,1,0.11,0.9216444143317951,7.07857022057498,1.112266528887752
activities/2796644542.fit.gz,2019-08-20 19:18:27,290.1333333333333,30.542902430661183,3,0.24666666666666667,0.797938307671429,5.305879523746201,0.8730919020060928
activities/2796644542.fit.gz,2019-08-20 19:20:57,287.76056338028167,24.78525503778883,2,0.23333333333333334,0.7914126044056949,5.219449253435041,0.8622809892889075
activities/2796644542.fit.gz,2019-08-20 19:23:27,300.96715328467155,18.382662450187286,2,0.21333333333333335,0.827733987672306,5.70952961956581,0.8764693167257762
activities/2796644542.fit.gz,2019-08-20 19:25:57,303.4172413793103,16.724596154405134,2,0.21,0.8344723349191419,5.802867314545036,0.8766739481933669
activities/2796644542.fit.gz,2019-08-20 19:28:27,294.18666666666667,14.809180335934268,2,0.25666666666666665,0.809085975205074,5.455167627279546,0.8551482060316806
activities/2796644542.fit.gz,2019-08-20 19:30:57,288.6166666666667,12.528489755575313,2,0.19666666666666666,0.7937670998360602,5.2505517398512485,0.8364013655059305
activities/2796644542.fit.gz,2019-08-20 19:33:27,290.4033333333333,12.420708067130832,2,0.16,0.7986808743410221,5.315759491984496,0.8408307003301803
activities/2796644542.fit.gz,2019-08-20 19:35:57,286.75666666666666,9.850759136003456,2,0.13666666666666666,0.7886516405566409,5.183095084605677,0.8119265554431081
activities/2796644542.fit.gz,2019-08-20 19:38:27,289.3933333333333,9.724811337787255,1,0.14333333333333334,0.7959031249473589,5.278848202508094,0.8430466211806205
activities/2796644542.fit.gz,2019-08-20 19:40:57,289.16333333333336,10.394068287035426,1,0.14333333333333334,0.7952705681547426,5.270460638109726,0.8430466211806205
activities/2796644542.fit.gz,2019-08-20 19:43:27,284.00333333333333,10.258491875298022,1,0.06666666666666667,0.7810792940247406,5.0840405296182265,0.8219112933626146
activities/2796644542.fit.gz,2019-08-20 19:45:57,278.24,14.980511784760004,2,0.23333333333333334,0.7652287042503392,4.879791415072108,0.805311588711657
activities/2796808375.fit.gz,2019-08-20 20:32:57,258.18060200668896,21.801801610961924,2,0.16333333333333333,0.7100604066135391,4.20154817533487,0.7883105725196875
activities/2796808375.fit.gz,2019-08-20 20:35:27,256.26666666666665,16.730477844009386,1,0.10333333333333333,0.704796611831106,4.139485533738388,0.7855947263138754
activities/2796808375.fit.gz,2019-08-20 20:37:57,255.12,12.638786861615054,1,0.09666666666666666,0.7016429953577722,4.102524107788557,0.7427563417948109
activities/2796808375.fit.gz,2019-08-20 20:40:27,256.10333333333335,22.53603016406296,1,0.12333333333333334,0.7043474048334509,4.13421055579681,0.7567638902029654
activities/2796808375.fit.gz,2019-08-20 20:42:57,259.5457746478873,28.3326818784966,1,0.15666666666666668,0.7138149684712958,4.246098410113975,0.7724097745176731
activities/2796808375.fit.gz,2019-08-20 20:45:27,275.55281690140845,22.308828523551735,2,0.2,0.7578382871980871,4.785990579527753,0.8288327481224024
activities/2796808375.fit.gz,2019-08-20 20:47:57,276.38,15.38794766475807,2,0.22666666666666666,0.7601132449709199,4.814767876501847,0.822000271939581
activities/2796808375.fit.gz,2019-08-20 20:50:27,275.06666666666666,10.741922029548013,1,0.09,0.756501254010183,4.769117894324829,0.7903394772802566
activities/2796808375.fit.gz,2019-08-20 20:52:57,279.6,12.707478113300057,1,0.14,0.7689690400675491,4.927611538186732,0.8238299180027449
activities/2796808375.fit.gz,2019-08-20 20:55:27,284.1,16.62598368017163,2,0.23666666666666666,0.7813451512274345,5.087502044555188,0.8406846338121873
activities/2796808375.fit.gz,2019-08-20 20:57:57,281.0566666666667,16.524530922910404,1,0.18666666666666668,0.7729752330874528,4.979089258055016,0.8367626267544771
activities/2796808375.fit.gz,2019-08-20 21:00:27,278.3466666666667,16.542666720399776,0,0.0,0.7655220639222773,4.883533586265193,0.0
activities/2796808375.fit.gz,2019-08-20 21:02:57,276.98201438848923,23.088889077214972,0,0.0,0.7617689331913183,4.835765896461994,0.0
activities/2796808375.fit.gz,2019-08-20 21:05:27,262.4928057553957,21.542787072743156,2,0.20666666666666667,0.7219200317108878,4.34307110154541,0.7815137147486086
activities/2796808375.fit.gz,2019-08-20 21:07:57,267.8612244897959,27.403655471387427,1,0.14,0.7366845088241653,4.522533879512514,0.8415100768025813
